# reward = -1000, epsilon = 0.1, epsilon = 0.1, gamma = 0.1, alpha = 0.5;

[Log] Agent Object Initialized (agent.js, line 8)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 3 StepCount 1 totalScore 3 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 3 StepCount 2 totalScore 6 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 3 StepCount 3 totalScore 6 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 3 StepCount 4 totalScore 6 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 3 StepCount 5 totalScore 6 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 3 StepCount 6 totalScore 6 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 6 StepCount 7 totalScore 12 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 6 StepCount 8 totalScore 12 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 6 StepCount 9 totalScore 13 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 6 StepCount 10 totalScore 14 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 6 StepCount 11 totalScore 15 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 6 StepCount 12 totalScore 19 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 6 StepCount 13 totalScore 19 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 6 StepCount 14 totalScore 19 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 6 StepCount 15 totalScore 19 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 13 BEST SCORE SO FAR 13 StepCount 16 totalScore 32 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 17 totalScore 32 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 13 StepCount 18 totalScore 35 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 19 totalScore 36 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 13 StepCount 20 totalScore 38 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 13 StepCount 21 totalScore 40 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 13 StepCount 22 totalScore 42 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 13 StepCount 23 totalScore 45 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 24 totalScore 45 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 25 totalScore 45 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 7 BEST SCORE SO FAR 13 StepCount 26 totalScore 52 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 27 totalScore 52 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 13 StepCount 28 totalScore 56 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 13 StepCount 29 totalScore 62 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 13 StepCount 30 totalScore 66 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 31 totalScore 67 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 32 totalScore 68 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 7 BEST SCORE SO FAR 13 StepCount 33 totalScore 75 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 34 totalScore 75 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 12 BEST SCORE SO FAR 13 StepCount 35 totalScore 87 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 36 totalScore 87 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 37 totalScore 87 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 38 totalScore 87 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 39 totalScore 87 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 13 StepCount 40 totalScore 93 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 41 totalScore 94 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 13 StepCount 42 totalScore 98 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 43 totalScore 98 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 13 StepCount 44 totalScore 100 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 45 totalScore 100 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 46 totalScore 100 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 47 totalScore 100 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 48 totalScore 100 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 49 totalScore 101 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 12 BEST SCORE SO FAR 13 StepCount 50 totalScore 113 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 51 totalScore 114 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 13 StepCount 52 totalScore 120 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 9 BEST SCORE SO FAR 13 StepCount 53 totalScore 129 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 54 totalScore 129 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 13 StepCount 55 totalScore 133 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 56 totalScore 134 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 57 totalScore 134 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 58 totalScore 134 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 59 totalScore 135 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 13 StepCount 60 totalScore 137 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 13 StepCount 61 totalScore 142 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 62 totalScore 143 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 63 totalScore 143 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 64 totalScore 143 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 65 totalScore 143 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 66 totalScore 143 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 9 BEST SCORE SO FAR 13 StepCount 67 totalScore 152 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 68 totalScore 152 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 13 StepCount 69 totalScore 155 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 13 StepCount 70 totalScore 159 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 71 totalScore 160 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 72 totalScore 160 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 73 totalScore 160 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 74 totalScore 160 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 13 StepCount 75 totalScore 163 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 13 StepCount 76 totalScore 168 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 13 StepCount 77 totalScore 169 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 78 totalScore 169 (index.js, line 240)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 13 StepCount 79 totalScore 169 (index.js, line 240)
