[Log] Agent Object Initialized (agent.js, line 8)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 0 StepCount 1 totalScore 0 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 0 StepCount 2 totalScore 0 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 2 StepCount 3 totalScore 2 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 2 StepCount 4 totalScore 3 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 7 BEST SCORE SO FAR 7 StepCount 5 totalScore 10 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 7 StepCount 6 totalScore 10 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 7 StepCount 7 totalScore 10 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 7 StepCount 8 totalScore 12 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 7 StepCount 9 totalScore 15 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 7 StepCount 10 totalScore 18 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 7 StepCount 11 totalScore 20 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 7 StepCount 12 totalScore 21 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 7 StepCount 13 totalScore 23 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 7 StepCount 14 totalScore 23 (index.js, line 328)
[Log] GAME STOPPED CURRENT SCORE 6 BEST SCORE SO FAR 7 StepCount 15 totalScore 29 (index.js, line 328)
