
reward = -1000
epsilon = 0.1; gamma = 0.75; alpha = 0.5;

[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 10 StepCount 19 totalScore 41 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 10 StepCount 20 totalScore 44 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 10 StepCount 21 totalScore 45 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 10 StepCount 22 totalScore 48 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 10 StepCount 23 totalScore 53 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 10 StepCount 24 totalScore 53 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 10 StepCount 25 totalScore 55 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 10 StepCount 26 totalScore 56 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 10 StepCount 27 totalScore 58 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 10 StepCount 28 totalScore 58 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 10 StepCount 29 totalScore 59 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 10 StepCount 30 totalScore 59 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 7 BEST SCORE SO FAR 10 StepCount 31 totalScore 66 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 10 StepCount 32 totalScore 66 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 10 StepCount 33 totalScore 67 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 10 StepCount 34 totalScore 71 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 10 StepCount 35 totalScore 76 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 10 StepCount 36 totalScore 76 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 10 StepCount 37 totalScore 77 (index.js, line 239)
