[Log] Agent Object Initialized (agent.js, line 8)
> Selected Element
< <div id="container" class="bg1 bgmove">…</div> = $1
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 3 StepCount 1 totalScore 3 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 3 StepCount 2 totalScore 5 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 5 BEST SCORE SO FAR 5 StepCount 3 totalScore 10 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 5 StepCount 4 totalScore 12 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 5 StepCount 5 totalScore 12 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 5 StepCount 6 totalScore 12 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 5 StepCount 7 totalScore 13 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 5 StepCount 8 totalScore 13 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 5 StepCount 9 totalScore 13 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 5 StepCount 10 totalScore 15 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 0 BEST SCORE SO FAR 5 StepCount 11 totalScore 15 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 5 StepCount 12 totalScore 19 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 3 BEST SCORE SO FAR 5 StepCount 13 totalScore 22 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 5 StepCount 14 totalScore 23 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 1 BEST SCORE SO FAR 5 StepCount 15 totalScore 24 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 5 StepCount 16 totalScore 28 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 2 BEST SCORE SO FAR 5 StepCount 17 totalScore 30 (index.js, line 239)
[Log] GAME STOPPED CURRENT SCORE 4 BEST SCORE SO FAR 5 StepCount 18 totalScore 34 (index.js, line 239)
